supplier_id,company_name,business_type,category,product_text,moq,unit_price,currency,incoterms,lead_time_days,certifications,customization,years_in_business,export_markets,reliability_score,source
SUP-BP-004,Harbor Textile 004,manufacturer,nylon backpack,nylon backpack travel daypack luggage strap water resistant 20L 30L OEM ODM custom logo 尼龙背包 行李箱拉杆带 embroidery screen print laptop compartment trolley sleeve luggage strap recycled nylon,600,6.4,USD,FOB|CIF,27,BSCI,custom logo|luggage strap,12,US|EU|JP,0.774,mvp_seed
SUP-BP-005,Harbor Textile 005,manufacturer+trading,nylon backpack,nylon backpack travel daypack luggage strap water resistant 20L 30L OEM ODM custom logo 尼龙背包 行李箱拉杆带 embroidery screen print laptop compartment trolley sleeve luggage strap recycled nylon,600,6.43,USD,EXW|FOB|CIF,45,REACH|BSCI,custom logo|luggage strap,15,US|EU,0.792,mvp_seed
SUP-BP-006,Harbor Textile 006,manufacturer,nylon backpack,nylon backpack travel daypack luggage strap water resistant 20L 30L OEM ODM custom logo 尼龙背包 行李箱拉杆带 embroidery screen print laptop compartment trolley sleeve luggage strap recycled nylon,600,6.46,USD,FOB|CIF,27,REACH|BSCI,luggage strap,18,US|EU,0.81,mvp_seed
SUP-BP-007,Harbor Textile 007,manufacturer,nylon backpack,nylon backpack travel daypack luggage strap water resistant 20L 30L OEM ODM custom logo 尼龙背包 行李箱拉杆带 embroidery screen print laptop compartment trolley sleeve luggage strap recycled nylon,9000,10.56,USD,EXW|FOB|CIF,50,,,3,US|EU|JP,0.828,mvp_seed
SUP-BP-008,Harbor Textile 008,manufacturer,nylon backpack,nylon backpack travel daypack luggage strap water resistant 20L 30L OEM ODM custom logo 尼龙背包 行李箱拉杆带 embroidery screen print laptop compartment trolley sleeve luggage strap recycled nylon,600,,USD,FOB|CIF,27,REACH|BSCI,custom logo|luggage strap,6,US|EU,0.846,mvp_seed
SUP-BP-009,Harbor Textile 009,manufacturer+trading,nylon backpack,nylon backpack travel daypack luggage strap water resistant 20L 30L OEM ODM custom logo 尼龙背包 行李箱拉杆带 embroidery screen print laptop compartment trolley sleeve luggage strap recycled nylon,600,6.46,USD,EXW|FOB|CIF,,REACH|BSCI,custom logo|luggage strap,9,US|EU,0.864,mvp_seed
SUP-BP-010,Harbor Textile 010,manufacturer,nylon backpack,nylon backpack travel daypack luggage strap water resistant 20L 30L OEM ODM custom logo 尼龙背包 行李箱拉杆带 embroidery screen print laptop compartment trolley sleeve luggage strap recycled nylon,600,6.4,USD,FOB|CIF,27,,,12,US|EU|JP,0.882,mvp_seed
SUP-EL-001,Vector Lighting 001,manufacturer+trading,electronic accessories,LED electronic accessories USB-C PD controller strip light module 12V 24V OEM ODM CE RoHS electronics LED 电子配件 USB-C PD 3.0 QC 4.0 LED driver PWM dimming 12V 24V PCB assembly,800,2.75,USD,EXW|FOB|CIF,22,CE|RoHS,custom logo|custom firmware,3,US|EU|JP,0.72,mvp_seed
SUP-EL-002,Vector Lighting 002,manufacturer,electronic accessories,LED electronic accessories USB-C PD controller strip light module 12V 24V OEM ODM CE RoHS electronics LED 电子配件 USB-C PD 3.0 QC 4.0 LED driver PWM dimming 12V 24V PCB assembly,8000,2.78,USD,FOB|CIF,22,CE|RoHS,custom logo|custom firmware,6,US|EU,0.738,mvp_seed
SUP-EL-003,Vector Lighting 003,manufacturer,electronic accessories,LED electronic accessories USB-C PD controller strip light module 12V 24V OEM ODM CE RoHS electronics LED 电子配件 USB-C PD 3.0 QC 4.0 LED driver PWM dimming 12V 24V PCB assembly,800,4.26,USD,EXW|FOB|CIF,22,CE|RoHS,custom logo|custom firmware,9,US|EU,0.756,mvp_seed
SUP-EL-004,Vector Lighting 004,manufacturer,electronic accessories,LED electronic accessories USB-C PD controller strip light module 12V 24V OEM ODM CE RoHS electronics LED 电子配件 USB-C PD 3.0 QC 4.0 LED driver PWM dimming 12V 24V PCB assembly,800,2.75,USD,FOB|CIF,22,RoHS,custom logo|custom firmware,12,US|EU|JP,0.774,mvp_seed
SUP-EL-005,Vector Lighting 005,manufacturer+trading,electronic accessories,LED electronic accessories USB-C PD controller strip light module 12V 24V OEM ODM CE RoHS electronics LED 电子配件 USB-C PD 3.0 QC 4.0 LED driver PWM dimming 12V 24V PCB assembly,800,2.78,USD,EXW|FOB|CIF,45,CE|RoHS,custom logo|custom firmware,15,US|EU,0.792,mvp_seed
SUP-EL-006,Vector Lighting 006,manufacturer,electronic accessories,LED electronic accessories USB-C PD controller strip light module 12V 24V OEM ODM CE RoHS electronics LED 电子配件 USB-C PD 3.0 QC 4.0 LED driver PWM dimming 12V 24V PCB assembly,800,2.81,USD,FOB|CIF,22,CE|RoHS,custom firmware,18,US|EU,0.81,mvp_seed
SUP-EL-007,Vector Lighting 007,manufacturer,electronic accessories,LED electronic accessories USB-C PD controller strip light module 12V 24V OEM ODM CE RoHS electronics LED 电子配件 USB-C PD 3.0 QC 4.0 LED driver PWM dimming 12V 24V PCB assembly,9000,4.54,USD,EXW|FOB|CIF,50,,,3,US|EU|JP,0.828,mvp_seed
SUP-EL-008,Vector Lighting 008,manufacturer,electronic accessories,LED electronic accessories USB-C PD controller strip light module 12V 24V OEM ODM CE RoHS electronics LED 电子配件 USB-C PD 3.0 QC 4.0 LED driver PWM dimming 12V 24V PCB assembly,800,,USD,FOB|CIF,22,CE|RoHS,custom logo|custom firmware,6,US|EU,0.846,mvp_seed
SUP-EL-009,Vector Lighting 009,manufacturer+trading,electronic accessories,LED electronic accessories USB-C PD controller strip light module 12V 24V OEM ODM CE RoHS electronics LED 电子配件 USB-C PD 3.0 QC 4.0 LED driver PWM dimming 12V 24V PCB assembly,800,2.81,USD,EXW|FOB|CIF,,CE|RoHS,custom logo|custom firmware,9,US|EU,0.864,mvp_seed
SUP-EL-010,Vector Lighting 010,manufacturer,electronic accessories,LED electronic accessories USB-C PD controller strip light module 12V 24V OEM ODM CE RoHS electronics LED 电子配件 USB-C PD 3.0 QC 4.0 LED driver PWM dimming 12V 24V PCB assembly,800,2.75,USD,FOB|CIF,22,,,12,US|EU|JP,0.882,mvp_seed
